"subject" "activity" "variable" "value"
"2" "WALKING" "tBodyAccMeanX" 0.276426586440678
"4" "WALKING" "tBodyAccMeanX" 0.278582015166667
"9" "WALKING" "tBodyAccMeanX" 0.278502842115385
"10" "WALKING" "tBodyAccMeanX" 0.278574076603774
"12" "WALKING" "tBodyAccMeanX" 0.2771286656
"13" "WALKING" "tBodyAccMeanX" 0.275883130350877
"18" "WALKING" "tBodyAccMeanX" 0.273887758571429
"20" "WALKING" "tBodyAccMeanX" 0.272589336470588
"24" "WALKING" "tBodyAccMeanX" 0.276980816034483
"1" "WALKING" "tBodyAccMeanX" 0.277330758736842
"3" "WALKING" "tBodyAccMeanX" 0.275567462068966
"5" "WALKING" "tBodyAccMeanX" 0.27784234625
"6" "WALKING" "tBodyAccMeanX" 0.283658868070175
"7" "WALKING" "tBodyAccMeanX" 0.275592961754386
"8" "WALKING" "tBodyAccMeanX" 0.27468631
"11" "WALKING" "tBodyAccMeanX" 0.271821892881356
"14" "WALKING" "tBodyAccMeanX" 0.271959598644068
"15" "WALKING" "tBodyAccMeanX" 0.273899207962963
"16" "WALKING" "tBodyAccMeanX" 0.276023564509804
"17" "WALKING" "tBodyAccMeanX" 0.272341855245902
"19" "WALKING" "tBodyAccMeanX" 0.273931172307692
"21" "WALKING" "tBodyAccMeanX" 0.279183526730769
"22" "WALKING" "tBodyAccMeanX" 0.27886459
"23" "WALKING" "tBodyAccMeanX" 0.273211884237288
"25" "WALKING" "tBodyAccMeanX" 0.278992759054054
"26" "WALKING" "tBodyAccMeanX" 0.279264443728814
"27" "WALKING" "tBodyAccMeanX" 0.276849485438596
"28" "WALKING" "tBodyAccMeanX" 0.281228223888889
"29" "WALKING" "tBodyAccMeanX" 0.271999916792453
"30" "WALKING" "tBodyAccMeanX" 0.276406758
"2" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.247164790395833
"4" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.270876696730769
"9" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.262436475714286
"10" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.267121853404255
"12" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.272970338653846
"13" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.258203939581818
"18" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.265401201896552
"20" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.252098317156863
"24" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.269881106779661
"1" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.255461689622641
"3" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.260819873067797
"5" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.268459469914894
"6" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.268229355098039
"7" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.248706923078431
"8" "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.258880152048781
